Customer_ID,Age,Gender,Region,Monthly_Income,Subscription_Length_Months,Monthly_Bill,Support_Tickets,Internet_Usage_GB,Contract_Type,Payment_Method,Has_Multiple_Services,Last_Login_Days_Ago,Satisfaction_Score,Churn
CUST1000,50,Female,Chennai,84886,58,966,6,360,Monthly,Debit Card,Yes,11,8,1
CUST1001,57,Male,Bangalore,90263,24,630,5,338,Monthly,UPI,Yes,2,8,1
CUST1002,51,Male,Bangalore,97969,60,2824,0,489,Yearly,UPI,No,26,6,1
CUST1003,46,Female,Mumbai,55658,42,2547,3,219,Yearly,UPI,Yes,30,3,1
CUST1004,24,Male,Hyderabad,99092,51,1146,4,196,Monthly,Credit Card,Yes,18,4,1
CUST1005,46,Female,Delhi,73001,9,1863,3,396,Quarterly,Net Banking,Yes,28,7,1
CUST1006,29,Female,Mumbai,65920,36,2085,3,31,Monthly,Net Banking,No,30,6,1
CUST1007,25,Male,Pune,70757,29,1202,1,191,Quarterly,UPI,No,10,4,1
CUST1008,35,Female,Hyderabad,62606,48,955,5,281,Quarterly,UPI,Yes,25,8,1
CUST1009,42,Male,Delhi,53247,45,837,6,82,Yearly,Net Banking,No,24,10,1
CUST1010,46,Male,Kolkata,69099,60,992,0,186,Quarterly,Credit Card,No,15,1,1
CUST1011,46,Male,Kolkata,70774,9,1867,0,501,Monthly,Net Banking,Yes,11,3,1
CUST1012,38,Female,Kolkata,63159,35,918,0,408,Monthly,Net Banking,Yes,5,10,0
CUST1013,49,Male,Bangalore,52662,9,2363,3,62,Yearly,Debit Card,No,16,7,1
CUST1014,44,Female,Delhi,93335,22,2070,0,491,Quarterly,Debit Card,No,3,1,1
CUST1015,26,Female,Mumbai,36910,14,1370,2,422,Yearly,Net Banking,No,15,10,0
CUST1016,34,Male,Kolkata,80015,39,1063,4,125,Monthly,Debit Card,Yes,4,5,1
CUST1017,44,Female,Hyderabad,86044,15,1040,3,189,Quarterly,Debit Card,No,7,3,1
CUST1018,43,Female,Kolkata,52299,2,2097,0,57,Monthly,Credit Card,Yes,12,4,1
CUST1019,51,Female,Chennai,72941,11,2163,1,377,Quarterly,Debit Card,Yes,25,7,1
CUST1020,54,Female,Delhi,60080,57,1806,5,288,Quarterly,UPI,No,7,6,1
CUST1021,29,Male,Kolkata,35530,9,817,4,254,Quarterly,Net Banking,No,19,10,1
CUST1022,45,Male,Pune,64766,59,2131,0,142,Quarterly,Credit Card,Yes,30,1,1
CUST1023,33,Female,Delhi,82733,39,2136,0,110,Quarterly,UPI,Yes,27,1,1
CUST1024,23,Male,Bangalore,30854,37,2259,0,414,Monthly,Debit Card,Yes,19,2,1
CUST1025,47,Female,Delhi,56309,32,2794,3,468,Yearly,Debit Card,No,11,8,0
CUST1026,38,Male,Delhi,55342,38,2827,4,227,Monthly,Debit Card,Yes,22,1,1
CUST1027,30,Female,Mumbai,72107,59,2294,3,432,Monthly,Net Banking,Yes,26,3,1
